method,data_fraction,seed,emotion,f1,precision,recall
setfit,0.01,42,annoyance,0.23060796645702306,0.3503184713375796,0.171875
setfit,0.01,42,approval,0.35451505016722407,0.29120879120879123,0.452991452991453
setfit,0.01,42,caring,0.06493506493506493,0.2631578947368421,0.037037037037037035
setfit,0.01,42,confusion,0.12631578947368421,0.32432432432432434,0.0784313725490196
setfit,0.01,42,curiosity,0.4,0.3452685421994885,0.4753521126760563
setfit,0.01,42,desire,0.12903225806451613,0.6,0.07228915662650602
setfit,0.01,42,disappointment,0.012422360248447204,0.1,0.006622516556291391
setfit,0.01,42,disapproval,0.2862595419847328,0.2918287937743191,0.2808988764044944
setfit,0.01,42,disgust,0.27450980392156865,0.7,0.17073170731707318
setfit,0.01,42,embarrassment,0.0,0.0,0.0
setfit,0.01,42,excitement,0.15254237288135594,0.6,0.08737864077669903
setfit,0.01,42,fear,0.0,0.0,0.0
setfit,0.01,42,gratitude,0.8789625360230547,0.8918128654970761,0.8664772727272727
setfit,0.01,42,grief,0.0,0.0,0.0
setfit,0.01,42,joy,0.46825396825396826,0.6483516483516484,0.36645962732919257
setfit,0.01,42,love,0.7489539748953975,0.7458333333333333,0.7521008403361344
setfit,0.01,42,nervousness,0.0,0.0,0.0
setfit,0.01,42,neutral,0.5412844036697247,0.6529644268774704,0.4622271964185786
setfit,0.01,42,optimism,0.3484848484848485,0.5897435897435898,0.24731182795698925
setfit,0.01,42,pride,0.0,0.0,0.0
setfit,0.01,42,realization,0.0,0.0,0.0
setfit,0.01,42,relief,0.0,0.0,0.0
setfit,0.01,42,remorse,0.3561643835616438,0.7647058823529411,0.23214285714285715
setfit,0.01,42,sadness,0.3188405797101449,0.6470588235294118,0.21153846153846154
setfit,0.01,42,surprise,0.21052631578947367,0.6,0.1276595744680851
setfit,0.05,42,admiration,0.6575052854122622,0.7036199095022625,0.6170634920634921
setfit,0.05,42,amusement,0.7752808988764045,0.7666666666666667,0.7840909090909091
setfit,0.05,42,anger,0.34408602150537637,0.5925925925925926,0.24242424242424243
setfit,0.05,42,annoyance,0.3185840707964602,0.3016759776536313,0.3375
setfit,0.05,42,approval,0.3353413654618474,0.2589147286821705,0.4757834757834758
setfit,0.05,42,caring,0.2708333333333333,0.45614035087719296,0.1925925925925926
setfit,0.05,42,confusion,0.2918454935622318,0.425,0.2222222222222222
setfit,0.05,42,curiosity,0.49261083743842365,0.46153846153846156,0.528169014084507
setfit,0.05,42,desire,0.34234234234234234,0.6785714285714286,0.2289156626506024
setfit,0.05,42,disappointment,0.1865671641791045,0.21367521367521367,0.16556291390728478
setfit,0.05,42,disapproval,0.3282336578581363,0.2610619469026549,0.4419475655430712
setfit,0.05,42,disgust,0.40217391304347827,0.6065573770491803,0.3008130081300813
setfit,0.05,42,embarrassment,0.19047619047619047,0.8,0.10810810810810811
setfit,0.05,42,excitement,0.35294117647058826,0.54,0.2621359223300971
setfit,0.05,42,fear,0.5984251968503937,0.7755102040816326,0.48717948717948717
setfit,0.05,42,gratitude,0.9106628242074928,0.9239766081871345,0.8977272727272727
setfit,0.05,42,grief,0.0,0.0,0.0
setfit,0.05,42,joy,0.5482866043613707,0.55,0.546583850931677
setfit,0.05,42,love,0.759493670886076,0.7627118644067796,0.7563025210084033
setfit,0.05,42,nervousness,0.0,0.0,0.0
setfit,0.05,42,neutral,0.5443383356070941,0.6969432314410481,0.44655847789591496
setfit,0.05,42,optimism,0.5266457680250783,0.631578947368421,0.45161290322580644
setfit,0.05,42,pride,0.0,0.0,0.0
setfit,0.05,42,realization,0.061855670103092786,0.12244897959183673,0.041379310344827586
setfit,0.05,42,relief,0.0,0.0,0.0
setfit,0.05,42,remorse,0.4329896907216495,0.5121951219512195,0.375
setfit,0.05,42,sadness,0.41044776119402987,0.49107142857142855,0.3525641025641026
setfit,0.05,42,surprise,0.41702127659574467,0.5212765957446809,0.3475177304964539
setfit,0.1,42,admiration,0.6735112936344969,0.6978723404255319,0.6507936507936508
setfit,0.1,42,amusement,0.8,0.782608695652174,0.8181818181818182
setfit,0.1,42,anger,0.3670886075949367,0.4915254237288136,0.29292929292929293
setfit,0.1,42,annoyance,0.3228247162673392,0.27061310782241016,0.4
setfit,0.1,42,approval,0.3297350343473994,0.25149700598802394,0.47863247863247865
setfit,0.1,42,caring,0.32989690721649484,0.5423728813559322,0.23703703703703705
setfit,0.1,42,confusion,0.33783783783783783,0.34965034965034963,0.32679738562091504
setfit,0.1,42,curiosity,0.4823348694316436,0.42779291553133514,0.5528169014084507
setfit,0.1,42,desire,0.3709677419354839,0.5609756097560976,0.27710843373493976
setfit,0.1,42,disappointment,0.13829787234042554,0.35135135135135137,0.08609271523178808
setfit,0.1,42,disapproval,0.3517915309446254,0.3112391930835735,0.4044943820224719
setfit,0.1,42,disgust,0.4186046511627907,0.7346938775510204,0.2926829268292683
setfit,0.1,42,embarrassment,0.34782608695652173,0.8888888888888888,0.21621621621621623
setfit,0.1,42,excitement,0.3522012578616352,0.5,0.27184466019417475
setfit,0.1,42,fear,0.65625,0.84,0.5384615384615384
setfit,0.1,42,gratitude,0.9085714285714286,0.9137931034482759,0.9034090909090909
setfit,0.1,42,grief,0.0,0.0,0.0
setfit,0.1,42,joy,0.5886075949367089,0.6,0.577639751552795
setfit,0.1,42,love,0.7441860465116279,0.7489361702127659,0.7394957983193278
setfit,0.1,42,nervousness,0.14285714285714285,0.4,0.08695652173913043
setfit,0.1,42,neutral,0.5649202733485194,0.6749611197511665,0.48573027420257414
